id,lat,lon,address,city,departament,country
175,5.835849,-73.027925,Vía San Luis,Duitama,Boyacá,Colombia
176,5.833218,-73.034843,Cra. 10 #17A-45,Duitama,Boyacá,Colombia
177,5.826622,-73.028451,CARRERA 19 A N 20-46,Duitama,Boyacá,Colombia
178,5.53055,-73.361586,Cra. 9 #17-81,Tunja,Boyacá,Colombia
179,4.581651,-74.215882,Cra. 6 #16-40,Soacha,Cundinamarca,Colombia
180,5.53959,-73.355166,55,Tunja,Boyacá,Colombia
181,5.533369,-73.367839,Cra. 15 #1992,Tunja,Boyacá,Colombia
182,5.834129,-73.031852,Cl. 20a #10-122,Duitama,Boyacá,Colombia
183,5.822054,-73.037548,Cra. 19 #8-35,Duitama,Boyacá,Colombia
184,4.581616,-74.215827,Cra. 6 #16-44,Soacha,Cundinamarca,Colombia
185,5.835838,-73.027893,Vía San Luis,Duitama,Boyacá,Colombia
186,5.809998,-73.024589,Cra. 38a #14-23,Duitama,Boyacá,Colombia
187,5.811183,-73.020383,Cl. 20 #40-33,Duitama,Boyacá,Colombia
188,5.813323,-73.017256,36,Duitama,Boyacá,Colombia
189,5.834129,-73.031852,Cl. 20a #10-122,Duitama,Boyacá,Colombia
190,5.829354,-73.034433,Centro-Sur,Duitama,Boyacá,Colombia
191,5.836142,-73.027689,RXPC+FW Duitama,RXPC+FW Duitama,Boyaca,Colombia
192,5.546468,-73.349604,Av Universitaria #42a-100,Tunja,Boyacá,Colombia
193,5.561246,-73.346551,"5°33'42.0""N 73°20'49 Transversal 1",Tunja,Boyacá,Colombia
194,5.568758,-73.340669,Tv. 2a #64-32, Tunja,Boyacá,Colombia
195,5.822822,-73.044174,Cra. 12 #112,Duitama,Boyacá,Colombia
196,5.812586,-73.02503,Cl. 15 #35-61,Duitama,Boyacá,Colombia
197,5.830059,-73.023276,Cl. 26 #17-11,Duitama,Boyacá,Colombia
198,5.829829,-73.030919,Cra. 16 #19-98,Duitama,Boyacá,Colombia
199,8.471433,-73.878544,F4CC+HH Morales,F4CC+HH Morales,Bolivar,Colombia
200,5.834129,-73.031852,Cl. 20a #10-122,Duitama,Boyacá,Colombia
201,4.789162,-74.044423,Cl. 209 #45-80,Suba,Bogotá,Colombia
202,4.578346,-74.135729,11001,Bogotá,Bogotá,Colombia
203,4.647209,-74.050356,Cra. 2 Este #70-20,Bogotá,Bogotá,Colombia
204,4.578346,-74.135729,11001,Bogotá,Bogotá,Colombia
205,4.578346,-74.135729,11001,Bogotá,Bogotá,Colombia
206,4.578346,-74.135729,11001,Bogotá,Bogotá,Colombia
207,4.578346,-74.135729,11001,Bogotá,Bogotá,Colombia
208,7.13152,-73.123147,Cl. 17 #2312,Bucaramanga,Santander,Colombia
209,4.581629,-74.215849,Cra. 6 #16-44,Soacha,Cundinamarca,Colombia
210,4.604281,-74.09533,,Cl. 6 #262,Bogotá,Colombia
211,4.578346,-74.135729,11001,Bogotá,Bogotá,Colombia
212,4.578346,-74.135729,11001,Bogotá,Bogotá,Colombia
213,4.581626,-74.215857,Cra. 6 #16-44,Soacha,Cundinamarca,Colombia
214,5.813323,-73.017256,36,Duitama,Boyacá,Colombia
215,4.54468,-74.276111,GPVF+VH Soacha,GPVF+VH Soacha,Cundinamarca,Colombia
216,4.789205,-74.044457,Cl. 209 #45-80,Suba,Bogotá,Colombia
217,5.840283,-73.03399,Cra. 3 #18-67,Duitama,Boyacá,Colombia
218,4.578346,-74.135729,11001,Bogotá,Bogotá,Colombia
219,4.579788,-74.216545,Cl 15 #3a18,Soacha,Cundinamarca,Colombia
220,4.578346,-74.135729,11001,Bogotá,Bogotá,Colombia
221,4.699749,-74.072176,Av. Pepe Sierra #70C - 04,Bogotá,Bogotá,Colombia
222,5.827725,-73.034695,Centro-Sur,Duitama,Boyacá,Colombia
223,4.578346,-74.135729,11001,Bogotá,Bogotá,Colombia
224,5.570925,-73.335717,Cl. 73 #2B-04,Tunja,Boyacá,Colombia
225,5.547155,-73.364176,Tv. 16c #32-25,Tunja,Boyacá,Colombia
226,5.543466,-73.351159,Av. Olímpica #1a74,Tunja,Boyacá,Colombia
227,4.586183,-74.131828,Cra. 33 #48 Sur-1 a 48 Sur-55,Bogotá,Bogotá,Colombia
228,4.586262,-74.131777,Cra. 33 #48 Sur-1 a 48 Sur-55,Bogotá,Bogotá,Colombia
229,5.546255,-73.349375,Av Universitaria # 39-77,Tunja,Boyacá,Colombia
230,4.586196,-74.131892,Cra. 33 #48 Sur-1 a 48 Sur-55,Bogotá,Bogotá,Colombia
231,5.54194,-73.363102,Cra. 14a #27-32,Tunja,Boyacá,Colombia
232,5.552292,-73.357093,Cra. 10 #41-1,Tunja,Boyacá,Colombia
233,5.530362,-73.368793,Cra. 15 #16b2,Tunja,Boyacá,Colombia
234,5.547743,-73.364397,Cl. 34B #1604,Tunja,Boyacá,Colombia
235,5.815844,-73.030527,Cl. 12 #30-16,Duitama,Boyacá,Colombia
236,5.53118,-73.36173,Cl. 18 #9-44,Tunja,Boyacá,Colombia
237,4.636826,-74.067508,Cl. 49 #1442,Bogotá,Bogotá,Colombia
238,4.578346,-74.135729,11001,Bogotá,Bogotá,Colombia
239,5.53354,-73.367963,Cra. 15 #1992,Tunja,Boyacá,Colombia
240,5.550562,-73.354119,Cra 7 #37d40,Tunja,Boyacá,Colombia
241,5.539675,-73.355239,55,Tunja,Boyacá,Colombia
242,5.561054,-73.346571,"5°33'42.0""N 73°20'49 Transversal 1",Tunja,Boyacá,Colombia
243,4.586225,-74.131792,Cra. 33 #48 Sur-1 a 48 Sur-55,Bogotá,Bogotá,Colombia
244,5.533287,-73.358034,Cl. 21 #6 35,Tunja,Boyacá,Colombia
245,8.551907,-72.93681,H327+Q7 El Tarra,H327+Q7 El Tarra,Norte de Santander,Colombia
246,8.550894,-72.934401,H328+96 El Tarra,H328+96 El Tarra,Norte de Santander,Colombia
247,5.542553,-73.351344,Cra. 1c #32 13 OFICINA 302,Tunja,Boyacá,Colombia
248,5.533391,-73.367775,Cra. 15 #1877,Tunja,Boyacá,Colombia
249,5.571748,-73.334133,Carrera 2 E No 75-84,Tunja,Boyacá,Colombia
250,5.524292,-73.433802,GHF8+PF Cucaita,GHF8+PF Cucaita,Boyaca,Colombia
251,5.539734,-73.355398,55,Tunja,Boyacá,Colombia
252,5.520981,-73.360137,Cra. 4a #8-34,Tunja,Boyacá,Colombia
253,5.571572,-73.334703,Cra. 2b #73,Tunja,Boyacá,Colombia
254,4.578102,-74.216414,Cl. 13 #2a-35,Soacha,Cundinamarca,Colombia
255,5.551069,-73.354251,Cra 7 #37d40,Tunja,Boyacá,Colombia
256,5.560829,-73.346638,Cra. 4 #5A -67 piso 2,Tunja,Boyacá,Colombia
257,5.537299,-73.35888,Cl. 25 #8-24,Tunja,Boyacá,Colombia
258,10.989128,-74.802731,El Recreo,Barranquilla,Atlántico,Colombia
259,5.812501,-73.025161,Cl. 15 #35-61,Duitama,Boyacá,Colombia
260,5.537555,-73.358821,Cl. 25 #8-24,Tunja,Boyacá,Colombia
261,4.578346;-74.135729,11001,Bogotá,Bogotá,Colombia
262,4.577456,-74.21484,Cl 15 #80,Soacha,Cundinamarca,Colombia
263,4.581851,-74.225481,Cl. 1 #6a-54,Soacha,Cundinamarca,Colombia
264,4.581579,-74.215813,Cra. 5A #16-55, Soacha,Cundinamarca,Colombia
265,6.143172,-75.621343,Cl. 78 Sur #40-180,Sabaneta,Antioquia,Colombia
266,4.594595,-74.184342,Cl 59 #3-12,Soacha,Cundinamarca,Colombia
267,6.144943,-75.622072,Cra. 45A #80 Sur-75,Sabaneta,Antioquia,Colombia
268,10.972448,-74.796724,Cra. 27 #31, Suroccidente,Barranquilla,Atlántico,Colombia
269,4.581552,-74.215766,Cra. 5A #16-55,Soacha,Cundinamarca,Colombia
